Time Period Benchmark Comparison,Header,Date,BM1,BM1Return,Consolidated,ConsolidatedReturn
Time Period Benchmark Comparison,Data,10/06/20,VT,-1.023142509,Consolidated,-0.407144113
Time Period Benchmark Comparison,Data,10/07/20,VT,1.415210436,Consolidated,0.646379883
Time Period Benchmark Comparison,Data,10/08/20,VT,0.82514258,Consolidated,0.50800905
Time Period Benchmark Comparison,Data,10/09/20,VT,0.758213985,Consolidated,0.195660568
Time Period Benchmark Comparison,Data,10/12/20,VT,1.098901099,Consolidated,0.684478033
Time Period Benchmark Comparison,Data,10/13/20,VT,-0.649810964,Consolidated,-0.356164883
Time Period Benchmark Comparison,Data,10/14/20,VT,-0.440004757,Consolidated,-0.335459695
Time Period Benchmark Comparison,Data,10/15/20,VT,-0.477783086,Consolidated,0.121215211
Time Period Benchmark Comparison,Data,10/16/20,VT,0.048007681,Consolidated,0.093217178
Time Period Benchmark Comparison,Data,10/19/20,VT,-0.947696737,Consolidated,-0.392376173
Time Period Benchmark Comparison,Data,10/20/20,VT,0.472326511,Consolidated,0.387865632
Time Period Benchmark Comparison,Data,10/21/20,VT,-0.253134041,Consolidated,-0.099722334
Time Period Benchmark Comparison,Data,10/22/20,VT,0.386706949,Consolidated,0.652779098
Time Period Benchmark Comparison,Data,10/23/20,VT,0.457445528,Consolidated,-0.116198371
Time Period Benchmark Comparison,Data,10/26/20,VT,-1.773517076,Consolidated,-0.882295575
Time Period Benchmark Comparison,Data,10/27/20,VT,-0.426985482,Consolidated,-0.628733022
Time Period Benchmark Comparison,Data,10/28/20,VT,-3.099730458,Consolidated,-1.594005581
Time Period Benchmark Comparison,Data,10/29/20,VT,0.872423821,Consolidated,0.150318831
Time Period Benchmark Comparison,Data,10/30/20,VT,-0.990223114,Consolidated,-0.352782825
Time Period Benchmark Comparison,Data,11/02/20,VT,1.240663375,Consolidated,0.394454002
Time Period Benchmark Comparison,Data,11/03/20,VT,1.888208078,Consolidated,1.153870842
Time Period Benchmark Comparison,Data,11/04/20,VT,1.877761414,Consolidated,0.35062625
Time Period Benchmark Comparison,Data,11/05/20,VT,2.120226479,Consolidated,1.4829851
Time Period Benchmark Comparison,Data,11/06/20,VT,0.117966262,Consolidated,-0.054507713
Time Period Benchmark Comparison,Data,11/09/20,VT,1.602450807,Consolidated,2.034864411
Time Period Benchmark Comparison,Data,11/10/20,VT,0.069581352,Consolidated,0.056676923
Time Period Benchmark Comparison,Data,11/11/20,VT,0.63738556,Consolidated,0.227752577
Time Period Benchmark Comparison,Data,11/12/20,VT,-1.059419622,Consolidated,-0.283984876
Time Period Benchmark Comparison,Data,11/13/20,VT,1.408286778,Consolidated,0.602983412
Time Period Benchmark Comparison,Data,11/16/20,VT,1.273958453,Consolidated,0.429223357
Time Period Benchmark Comparison,Data,11/17/20,VT,-0.203989121,Consolidated,-0.233210854
Time Period Benchmark Comparison,Data,11/18/20,VT,-0.863047922,Consolidated,-0.283729586
Time Period Benchmark Comparison,Data,11/19/20,VT,0.618556701,Consolidated,0.092714154
Time Period Benchmark Comparison,Data,11/20/20,VT,-0.159380692,Consolidated,-0.229858571
Time Period Benchmark Comparison,Data,11/23/20,VT,0.490307868,Consolidated,0.455375504
Time Period Benchmark Comparison,Data,11/24/20,VT,1.520481107,Consolidated,0.991805498
Time Period Benchmark Comparison,Data,11/25/20,VT,-0.156477031,Consolidated,0.085960327
Time Period Benchmark Comparison,Data,11/26/20,VT,0,Consolidated,0.065870342
Time Period Benchmark Comparison,Data,11/27/20,VT,0.492555692,Consolidated,0.164571197
Time Period Benchmark Comparison,Data,11/30/20,VT,-1.125097471,Consolidated,-0.191418992
Time Period Benchmark Comparison,Data,12/01/20,VT,1.487156377,Consolidated,0.658255907
Time Period Benchmark Comparison,Data,12/02/20,VT,0.06660746,Consolidated,0.197024449
Time Period Benchmark Comparison,Data,12/03/20,VT,0.33281562,Consolidated,0.070643682
Time Period Benchmark Comparison,Data,12/04/20,VT,0.961963733,Consolidated,0.565415611
Time Period Benchmark Comparison,Data,12/07/20,VT,-0.317599387,Consolidated,-0.189126833
Time Period Benchmark Comparison,Data,12/08/20,VT,0.318611294,Consolidated,0.278361542
Time Period Benchmark Comparison,Data,12/09/20,VT,-0.613295367,Consolidated,-0.145622556
Time Period Benchmark Comparison,Data,12/10/20,VT,0.286501377,Consolidated,0.079962416
Time Period Benchmark Comparison,Data,12/11/20,VT,-0.263707285,Consolidated,-0.253989421
Time Period Benchmark Comparison,Data,12/14/20,VT,-0.220337116,Consolidated,-0.157944487
Time Period Benchmark Comparison,Data,12/15/20,VT,1.291818483,Consolidated,0.746303802
Time Period Benchmark Comparison,Data,12/16/20,VT,0.239808153,Consolidated,0.184647022
Time Period Benchmark Comparison,Data,12/17/20,VT,0.641583297,Consolidated,0.458598383
Time Period Benchmark Comparison,Data,12/18/20,VT,-0.313344138,Consolidated,-0.017206799
Time Period Benchmark Comparison,Data,12/21/20,VT,-0.712768264,Consolidated,0.160266996
Time Period Benchmark Comparison,Data,12/22/20,VT,-0.098846787,Consolidated,-0.236360136
Time Period Benchmark Comparison,Data,12/23/20,VT,0.461741425,Consolidated,0.212412084
Time Period Benchmark Comparison,Data,12/24/20,VT,0.229809586,Consolidated,0.184303281
Time Period Benchmark Comparison,Data,12/25/20,VT,0,Consolidated,0
Time Period Benchmark Comparison,Data,12/28/20,VT,0.458565346,Consolidated,0.228599466
Time Period Benchmark Comparison,Data,12/29/20,VT,0.19563091,Consolidated,-0.30060819
Time Period Benchmark Comparison,Data,12/30/20,VT,0.347109231,Consolidated,0.188419381
Time Period Benchmark Comparison,Data,12/31/20,VT,0.075667495,Consolidated,0.70934746
Time Period Benchmark Comparison,Data,01/04/21,VT,-0.572477857,Consolidated,-0.559012945
Time Period Benchmark Comparison,Data,01/05/21,VT,1.097229766,Consolidated,0.281108165
Time Period Benchmark Comparison,Data,01/06/21,VT,0.709219858,Consolidated,0.498103397
Time Period Benchmark Comparison,Data,01/07/21,VT,1.013657704,Consolidated,2.146016931
Time Period Benchmark Comparison,Data,01/08/21,VT,0.908418718,Consolidated,-0.025063996
Time Period Benchmark Comparison,Data,01/11/21,VT,-0.900240762,Consolidated,0.242378065
Time Period Benchmark Comparison,Data,01/12/21,VT,0.3802683,Consolidated,-0.384006111
Time Period Benchmark Comparison,Data,01/13/21,VT,0.084183942,Consolidated,-0.038210818
Time Period Benchmark Comparison,Data,01/14/21,VT,0.168226264,Consolidated,0.614422567
Time Period Benchmark Comparison,Data,01/15/21,VT,-1.039151884,Consolidated,-0.433593909
Time Period Benchmark Comparison,Data,01/18/21,VT,0,Consolidated,-0.013489063
Time Period Benchmark Comparison,Data,01/19/21,VT,0.869749682,Consolidated,0.415103796
Time Period Benchmark Comparison,Data,01/20/21,VT,1.209253417,Consolidated,0.249071163
Time Period Benchmark Comparison,Data,01/21/21,VT,0.031168831,Consolidated,0.224085693
Time Period Benchmark Comparison,Data,01/22/21,VT,-0.467386789,Consolidated,-0.077145692
Time Period Benchmark Comparison,Data,01/25/21,VT,0.219138057,Consolidated,0.421897329
Time Period Benchmark Comparison,Data,01/26/21,VT,-0.29154519,Consolidated,0.174945839
Time Period Benchmark Comparison,Data,01/27/21,VT,-2.401837928,Consolidated,-0.533436728
Time Period Benchmark Comparison,Data,01/28/21,VT,0.81318211,Consolidated,-0.361029023
Time Period Benchmark Comparison,Data,01/29/21,VT,-1.963489705,Consolidated,-0.982950048
Time Period Benchmark Comparison,Data,02/01/21,VT,1.710512071,Consolidated,1.151937453
Time Period Benchmark Comparison,Data,02/02/21,VT,1.383714742,Consolidated,0.87404674
Time Period Benchmark Comparison,Data,02/03/21,VT,0.157480315,Consolidated,0.567811745
Time Period Benchmark Comparison,Data,02/04/21,VT,0.691823899,Consolidated,0.930964716
Time Period Benchmark Comparison,Data,02/05/21,VT,0.614199459,Consolidated,0.159949054
Time Period Benchmark Comparison,Data,02/08/21,VT,0.693222969,Consolidated,0.741406198
Time Period Benchmark Comparison,Data,02/09/21,VT,0.308261406,Consolidated,0.121000644
Time Period Benchmark Comparison,Data,02/10/21,VT,-0.010243802,Consolidated,-0.347936439
Time Period Benchmark Comparison,Data,02/11/21,VT,0.512242598,Consolidated,0.231805338
Time Period Benchmark Comparison,Data,02/12/21,VT,0.479054123,Consolidated,0.330727206
